seq_id,date,offset,order,n_views,rot_median,rot_p90,center_median_norm,pose_gate
plantview__langdon_4__15-04-24,15-04-24,138,forward,16,2.907576593981215,5.32798632904424,0.05139201129414708,PASS
plantview__langdon_4__15-04-24,15-04-24,141,forward,16,2.4228454084755726,4.142344969018773,0.0403312305216249,PASS
plantview__langdon_4__15-04-24,15-04-24,144,forward,16,3.7905815968861756,10.63284178228983,0.04664029265561045,PASS
plantview__langdon_4__15-04-24,15-04-24,147,forward,16,6.501799406565855,13.220202904784351,0.1144068061879462,PASS
plantview__langdon_4__15-04-24,15-04-24,150,forward,16,9.107351569121136,9.649725580455396,0.2535951041981968,PASS
plantview__langdon_4__15-04-24,15-04-24,153,forward,16,6.222532840877813,12.609582368921739,0.12479361653578182,PASS
plantview__langdon_4__15-04-24,15-04-24,156,forward,16,2.8748069571587056,10.585331158024866,0.03786320458974899,PASS
plantview__langdon_4__15-04-24,15-04-24,159,forward,16,2.014863608691171,4.217020883369514,0.04620646931633954,PASS
plantview__langdon_4__15-04-24,15-04-24,162,forward,16,1.6861906510621498,3.110381729156485,0.033139326739484,PASS
plantview__langdon_4__15-04-24,15-04-24,165,forward,16,1.3698583805685915,2.6995879163591234,0.04649676083051654,PASS
plantview__langdon_4__15-04-24,15-04-24,168,forward,16,1.8661725427801952,2.925671720671189,0.03608181137608542,PASS
plantview__langdon_4__15-04-24,15-04-24,171,forward,16,1.7745173872326916,4.032534867944895,0.025801025564500583,PASS
plantview__langdon_4__15-04-24,15-04-24,174,forward,16,2.135142152934292,3.4961074108175056,0.035353489708541457,PASS
plantview__langdon_4__15-04-24,15-04-24,177,forward,16,3.6702957982238003,14.605215787905596,0.048546814248474845,PASS
plantview__langdon_4__15-04-24,15-04-24,180,forward,16,7.078715364092947,11.184419874237452,0.19075918669489306,PASS
plantview__langdon_4__15-04-24,15-04-24,183,forward,16,8.376195300641312,10.330724861639613,0.26206729904972426,PASS
plantview__langdon_4__15-04-24,15-04-24,186,forward,16,5.0267667752533765,13.485749949211861,0.06862181830461636,PASS
plantview__langdon_4__15-04-24,15-04-24,189,forward,16,2.502614013553498,4.443783348250296,0.02934438210548629,PASS
plantview__langdon_4__15-04-24,15-04-24,192,forward,16,2.8146319481314706,5.063020377373938,0.05668942118755672,PASS
plantview__langdon_4__15-04-24,15-04-24,195,forward,16,1.8622240392718985,3.1154128266647287,0.05107736938194599,PASS
plantview__langdon_4__15-04-24,15-04-24,198,forward,16,2.621528044866828,4.498729893055031,0.05329035557046739,PASS
plantview__langdon_4__15-04-24,15-04-24,201,forward,16,1.735446097012423,3.1942889161569568,0.06036548463595816,PASS
plantview__langdon_4__15-04-24,15-04-24,204,forward,16,2.440211588839141,3.339349351801539,0.04994445968415479,PASS
plantview__langdon_4__15-04-24,15-04-24,207,forward,16,1.745048915644194,3.333184967060551,0.02813349831247291,PASS
plantview__langdon_4__15-04-24,15-04-24,210,forward,16,4.866112305469159,13.796237051978448,0.06511352815092124,PASS
plantview__langdon_4__15-04-24,15-04-24,213,forward,16,8.074369249194739,10.254370199638206,0.25639015341916815,PASS
plantview__langdon_4__15-04-24,15-04-24,216,forward,16,6.995143781644366,11.422614369556548,0.18867414694753298,PASS
plantview__langdon_4__15-04-24,15-04-24,219,forward,16,3.8060863053027383,14.751320166982804,0.04807472822528223,PASS
plantview__langdon_4__15-04-24,15-04-24,222,forward,16,2.9200015329771514,4.442671023601973,0.052215534232170215,PASS
plantview__langdon_4__15-04-24,15-04-24,225,forward,16,1.8271800441308141,3.1200918427661453,0.03822401665340963,PASS
plantview__langdon_4__15-04-24,15-04-24,228,forward,16,1.682637642355434,2.5474220217410055,0.07839431546189574,PASS
plantview__langdon_4__15-04-24,15-04-24,231,forward,16,1.718975993769354,3.0471486467425404,0.05411815140632976,PASS
plantview__langdon_4__15-04-24,15-04-24,234,forward,16,1.907158896897005,3.3123701551158407,0.027869350173786063,PASS
plantview__langdon_4__15-04-24,15-04-24,237,forward,16,2.0984351147007154,2.8257444219526784,0.0236687543145978,PASS
plantview__langdon_4__15-04-24,15-04-24,240,forward,16,3.1808344959638513,10.198208943783289,0.044648649932643766,PASS
plantview__langdon_4__15-04-24,15-04-24,243,forward,16,6.1958363033265575,13.079719818835152,0.14581838281626747,PASS
plantview__langdon_4__15-04-24,15-04-24,246,forward,16,9.14833032321041,9.566241065745551,0.31438870673238084,PASS
plantview__langdon_4__15-04-24,15-04-24,249,forward,16,5.902196922998884,12.368815275088714,0.1541114619405177,PASS
plantview__langdon_4__15-04-24,15-04-24,252,forward,16,3.013101990806719,10.647038100166059,0.04048278742327156,PASS
plantview__langdon_4__15-04-24,15-04-24,255,forward,16,2.0156819315705583,3.555425424563576,0.03991968516459863,PASS
plantview__langdon_4__15-04-24,15-04-24,258,forward,16,1.9318456767013845,2.92788448185171,0.047473597493546946,PASS
plantview__langdon_4__15-04-24,15-04-24,261,forward,16,1.3991204566022017,2.7094958581378563,0.06339007409229325,PASS
plantview__langdon_4__15-04-24,15-04-24,264,forward,16,1.3090423482990874,2.3681568218331552,0.06294716953307238,PASS
plantview__langdon_4__15-04-24,15-04-24,267,forward,16,1.7764564132283174,2.6832312849096525,0.042606823574437735,PASS
plantview__langdon_4__15-04-24,15-04-24,270,forward,16,1.7530082083306096,3.356956574122835,0.04342331701564742,PASS
plantview__langdon_4__15-04-24,15-04-24,273,forward,16,4.1869628360533255,14.771249307319213,0.044558358616868014,PASS
plantview__langdon_4__15-04-24,15-04-24,276,forward,16,7.209316129258509,11.305597895525375,0.2106339795193915,PASS
plantview__langdon_4__15-04-24,15-04-24,279,forward,16,8.62309558382067,10.286860740116762,0.27587141282673644,PASS
plantview__langdon_4__15-04-24,15-04-24,282,forward,16,4.757901311563983,13.209048157867144,0.11264488486701962,PASS
plantview__langdon_4__15-04-24,15-04-24,285,forward,16,2.4705848422804237,4.4084202519437605,0.03883204943790927,PASS
plantview__langdon_4__15-04-24,15-04-24,288,forward,16,1.8956953328932478,2.6685602143838913,0.043032797548926645,PASS
plantview__langdon_4__15-04-24,15-04-24,291,forward,16,1.313862172069928,2.690739801684723,0.04161246887000611,PASS
plantview__langdon_4__15-04-24,15-04-24,294,forward,16,1.2953063474011794,2.9372553936054686,0.08327866246982504,PASS
plantview__langdon_4__15-04-24,15-04-24,297,forward,16,2.6972802615022755,4.473679658040144,0.08614328670277599,PASS
plantview__langdon_4__15-04-24,15-04-24,300,forward,16,2.1042624199872355,4.063564635081586,0.0443773817663673,PASS
plantview__langdon_4__15-04-24,15-04-24,303,forward,16,0.7028979818429953,2.9051010896811484,0.019966001024656555,PASS
plantview__langdon_4__15-04-24,15-04-24,306,forward,16,1.2012480265747787,2.133378628920375,0.018539880756771328,PASS
plantview__langdon_4__15-04-24,15-04-24,309,forward,16,0.8701435970223971,1.5489988678363655,0.01818726762110359,PASS
plantview__langdon_4__15-04-24,15-04-24,312,forward,16,0.24739261532629161,0.9668798005170356,0.01456940251433871,PASS
plantview__langdon_4__15-04-24,15-04-24,315,forward,16,0.29691699807125077,0.582245382635299,0.007870390688965574,PASS
plantview__langdon_4__15-04-24,15-04-24,-1,reverse,16,1.7620571625554167,3.4502710304963546,0.044956944062845755,PASS
plantview__langdon_4__19-03-24,19-03-24,0,forward,16,2.456694148761975,3.7474056783834713,0.040604127122377646,PASS
plantview__langdon_4__19-03-24,19-03-24,4,forward,16,0.39939801245783824,2.152765537618343,0.03360708125450573,PASS
plantview__langdon_4__19-03-24,19-03-24,8,forward,16,0.6404155754312585,1.560838893949374,0.032519213890147766,PASS
